FLD_ID,KL_ID,FLD_NAME,DISP_NAME,DISP_SIZE,IS_KEY,IS_EDIT,VISIBLE,DEF_VALUE,HAS_NULL
1,1,CPROF_ID,Код,50,1,1,1,,0
2,1,CPROF_NAME,Наименование,200,0,1,1,,0
3,1,PRINT_NAME,"Наименование (для печати)",200,0,1,1,,0
4,1,EXPRESSION,"Формула вычисления",200,0,1,1,,1
5,2,KOPF_ID,"Код (внутр.)",64,1,0,0,,1
6,2,KOPF_NAME,Наименование,397,0,1,1,,0
7,2,KOD,КОПФ,50,0,1,1,,0
8,3,TERR_ID,"Код (внутр.)",85,1,0,0,,1
9,3,NAME,Наименование,300,0,1,1,,0
10,3,KODTERR,Код,376,0,1,1,{KODTERR},0
11,4,FS_ID,"Код (внутр.)",59,1,0,0,,1
12,4,FS_NAME,Наименование,370,0,1,1,,0
13,4,KOD,ОКФС,100,0,1,1,,0
14,5,KOD,Код,50,0,1,1,,1
15,5,NAME,Наименование,300,0,1,1,,0
16,1,STATE,"Тип строки",79,0,1,1,,0
17,1,LINE_NO,"№ строки п/п",50,0,1,1,,1
18,5,ID,"Код (внутр.)",50,1,0,0,,0
19,6,REGPL_ID,"Код (внутр.)",50,1,0,0,,1
20,6,REGPL_NAME,Наименование,150,0,1,1,,0
21,6,REGPL_KOD,Код,50,0,1,1,,0
22,3,IS_OKATO,Терр.,40,0,1,1,,0
23,7,OKVED_SECTION,Раздел,30,1,0,1,,0
24,7,OKVED_SECTION_NAME,Описание,250,0,0,1,,0
25,7,OKVED_BEGIN,"Начало диапазона",50,0,0,1,,0
26,7,OKVED_END,"Конец диапазона",50,0,0,1,,0
27,4,ForForm,"Для сведений по ВУО",136,0,1,1,,0
28,8,OVK_ID,"Код",10,1,0,0,,1
29,8,OVK_NAME,"Переменная часть наименования органа, ведущего первичный воинский учет 'Отдел военного комиссариата ...' или 'Администрация ...'",300,0,1,1,,0
30,8,OVK_ADDR,"Адрес",200,0,1,1,,1
31,8,OVK_PHONE,"Дополнительная информация",200,0,1,1,,1
32,3,SHORTNAME,"Краткое наименование",300,0,1,1,,0
33,9,OKTMO_ID,"Код (внутр.)",80,1,0,0,,1
34,9,NAME,"Наименование",300,0,1,1,,0
35,9,KODOKTMO,"Код",250,0,1,1,{KODOKTMO},0
36,9,SHORTNAME,"Краткое наименование",300,0,1,1,,1
37,8,ISOVK,"Первичный воинский учет ведет ОВК (не отмечено - учет ведет Администрация)",200,0,1,1,,1
