OKVED_SECTION,OKVED_SECTION_NAME,OKVED_BEGIN,OKVED_END
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство", 1, 3
B,"Добыча полезных ископаемых", 5, 9
C,"Обрабатывающие производства", 10, 33
D,"Обеспечение электроэнергией, газом и паром;  кондиц-ие воздуха", 35, 35
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений", 36, 39
F,"Строительство", 41, 43
G,"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов", 45, 47
H,"Транспортировка и хранение", 49, 53
I,"Деятельность гостиниц и предприятий общественного питания", 55, 56
J,"Деятельность в области информации и связи", 58, 63
K,"Деятельность финансовая и страховая", 64, 66
L,"Деятельность по операциям с недвижимым имуществом", 68, 68
M,"Деятельность профессиональная, научная и техническая", 69, 75
N,"Деятельность административная и сопутствующие дополнительные  услуги", 77, 82
O,"Государственное управление и обеспечение военной безопасности; социальное обеспечение", 84, 84
P,"Образование", 85, 85
Q,"Деятельность в области здравоохранения и социальных услуг", 86, 88
R,"Деятельность в области культуры, спорта, организации досуга и развлечений", 90, 93
S,"Предоставление прочих видов услуг", 94, 96
T,"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления", 97, 98
U,"Деятельность экстерриториальных организаций и органов", 99, 99
