OVK_ID,OVK_NAME,OVK_ADDR,OVK_PHONE,ISOVK
1,"Александровского района Сахалинской области","694420, Сахалинская область, г. Александровск-Сахалинский, ул. Советская, 7","Тел. (42434) 43131",0
2,"Муниципального образования Красноселькупский район Ямало-Ненецкого Автономного Округа","629380, Ямало-Ненецкий автономный округ, Красноселькупский район, с. Красноселькуп, ул. Советская, 18. факс ","Тел. (34932) 2-11-02",0
3,"города Москвы по Замоскворецкому району","119034, Хилков пер., 2, стр 2","Тел. 695-1189 (Территория Управ  районов  Замоскворечье,  Хамовники, Якиманка  ЦАО)",1
4,"города Москвы по Красносельскому району","107045, Даев пер., д. 13","Тел. 608-6445 (Территория Управ  районов  Басманный, Красносельский, Таганский  ЦАО)",1
5,"города Москвы по Тверскому району ","123100,ул. Мантулин¬ская, д. 24","Тел. (499) 256-0043 (Территория Управ  районов  Арбат, Мещанский, Пресненский, Тверской ЦАО)",1
6,"города Москвы по Головинскому району ","125057, ул. Алабяна, д. 5","Тел. (499) 198-9339 (Территория Управ  районов  Головинский, Ховрино, Левобережный, Сокол, Войковский, Молжаниновский САО)",1
7,"города Москвы по Коптевскому району ","125183, ул. Космодемьянских 3. и А., 36","Тел. 450-0881 (Территория Управ  районов  Дегунино Зап., Коптево САО)",1
8,"города Москвы по Савеловскому району ","12504 7, Бутырский вал, д. 7","Тел. 251-8064 (Территория Управ  районов  Аэропорт, Беговой, Савеловский, Хорошевский САО)",1
9,"города Москвы по Тимирязевскому району ","127238, Дмитровское ш., д. 54","Тел. 488-7883 (Территория Управ  районов  Бескудниково, Дегунино Вост., Тимирязевский, Дмитровский САО)",1
10,"города Москвы по Бабушкинскому району ","129327, Ленская, 2/21","Тел. 471-1322 (Территория Управ  районов  Бабушкинский, Лосиноостровский, Южное и Северное Медведково, Ярославский СВАО)",1
11,"города Москвы по Бутырскому району ","127254, Гончарова, 8/13","Тел. 618-1121 (Территория Управ  районов  Алтуфьево, Бибирево, Лианозово, Отрадное, Северный СВАО)",1
12,"города Москвы по Останкинскому району ","107045, Печатников пер., 18","Тел. 628-6482 (Территория Управ  районов  Алексеевский, Бутырский, Марфино, Марьина Роща, Останкинский, Ростокино, Свиблово СВАО)",1
13,"города Москвы по Хорошевскому району ","123103, Таманская, д. 10","Тел. (499) 199-1847 (Территория Управ  районов  Строгино, Хорошево-Мневники, Щукино СЗАО)",1
14,"города Москвы по Тушинскому району ","123182, ул.Пехотная, д. 3, стр.2","Тел. 194-3601; 943-8725 (Территория Управ  районов  Куркино, Покровское-Стрешнево, Северное Тушино, Южное Тушино СЗАО)",1
15,"города Москвы по Митинскому району","123464, Пятницкое ш., д. 6 корп. 4","Тел. 597-9080 (Управа  района Митино СЗАО)  ",1
16,"города Москвы по Даниловскому району ","115280, Пересветов пер., д. 5","Тел. 675-7485 (Территория Управ  районов  Братеево, Даниловский, Донской, Нагатинский Затон, Нагатино-Садовники, Москворечье-Сабурово ЮАО)",1
17,"города Москвы по Царицынскому району ","115201, Старокашир¬ское ш., д. 2, корп. 3","Тел. 113-9751 (Территория Управ  районов  Бирюлево Вост., Зябликово, Орехово-Борисово Сев., Орехово-Борисово Южн., Царицыно ЮАО)",1
18,"города Москвы по Чертановскому району ","117556, Варшавское ш.,д. 83","Тел. 113-1533 (Территория Управ  районов  Бирюлево Зап., Нагорный, Чертаново Сев., Чертаново Центр., Чертаново Южн.  ЮАО)",1
19,"города Москвы по Кузьминскому району ","109377, Зеленодоль-ская, 6","Тел. 371-9191 (Территория Управ  районов  Выхино-Жулебино, Кузьминки, Некрасовка, Рязанский ЮВАО)",1
20,"города Москвы по Лефортовскому району ","109518, Саратовская, д. 21","Тел. (499) 177-5410 (Территория Управ  районов  Лефортово, Нижегородский, Южнопортовый ЮВАО)",1
21,"города Москвы по Люблинскому району ","109451, ул. Братиславская, д. 14","Тел. 345-5955 (Территория Управ  районов  Капотня, Люблино, Марьино, Печатники, Текстильщики ЮВАО)",1
22,"города Москвы по Академическому району ","117292, Дмитрия Уль¬янова, д. 14, кор.5","Тел. 129-1892 (Территория Управ  районов  Академический, Зюзино, Котловка ЮЗАО)",1
23,"города Москвы по Бутовскому району ","ул. Изюмская, д. 38","Тел. 716-0963 (Территория Управ  районов  Бутово Сев., Бутово Южн.  ЮЗАО)",1
24,"города Москвы по Гагаринскому району ","119333, Вавилова, д. 44","Тел. (499) 135-1023 (Территория Управ  районов  Гагаринский, Ломоносовский ЮЗАО)",1
25,"города Москвы по Черемушкинскому району","117292, Вавилова, д. 44 корп. 1","Тел. (499) 135-7938 (Управа района Черемушкинский ЮЗАО) ",1
26,"города Москвы по Измайловскому району","105043, 5-я Парко-вая, 30-А","Тел. (499) 165-3000 (Территория Управ  районов  Восточный, Измайлово, Измайлово Вост., Измайлово Сев., Соколиная Гора ВАО)",1
27,"города Москвы по Перовскому району ","111141, ул.Лазо, д. 1","Тел. 770-2499 (Территория Управ  районов  Вешняки, Ивановское, Косино-Ухтомская, Новогиреево, Новокосино, Перово ВАО)",1
28,"города Москвы по Преображенскому району ","107076, Колодезный пер.,д. 14","Тел. (499) 268-3670 (Территория Управ  районов  Богородское, Гольяново, Метрогородок, Преображенское, Сокольники ВАО)",1
29,"города Москвы по Кунцевскому району ","121351, Партизан-ская, д. 19","Тел. 417-3035 (Территория Управ  районов  Кунцево, Можайский, Филевский Парк, Фили-Давыдково, Крылатское ЗАО)",1
30,"города Москвы по Раменскому району ","119607, Лобачевско¬го, д. 98, кор.2","Тел. 931-4627 (Территория Управ  районов  Дорогомиловский, Очаково-Матвеевское, Проспект Вернадского, Раменки, Тропарево-Никулино ЗАО)",1
31,"города Москвы по Солнцевскому району ","119620, Солнцевский просп., д. 3","Тел. 435-5284 (Территория Управ  районов  Внуково, Новопередепкино, Солнцево ЗАО)",1
32,"города Москвы по Зеленоградскому АО","124536, Панфиловский пр-т, д. 16","Тел. (499) 535-2612 (Зеленоградский АО)",1
