TERR_ID,NAME,KODTERR,IS_OKATO,SHORTNAME
96073,"Город Москва столица Российской Федерации город федерального значения",45000000000,1,"Город Москва столица Российской Федерации город федерального значения"
96074,"Административные округа г Москвы/",45260000000,0,"Административные округа г Москвы/"
96075,"Восточный",45263000000,1,"Восточный"
96076,"Западный",45268000000,1,"Западный"
96077,"Город Зеленоград",45272000000,1,"Город Зеленоград"
96078,"Северный",45277000000,1,"Северный"
96079,"Северо-Восточный",45280000000,1,"Северо-Восточный"
96080,"Северо-Западный",45283000000,1,"Северо-Западный"
96081,"Центральный",45286000000,1,"Центральный"
96082,"Юго-Восточный",45290000000,1,"Юго-Восточный"
96083,"Юго-Западный",45293000000,1,"Юго-Западный"
96084,"Южный",45296000000,1,"Южный"
96085,"Районы Восточного округа/",45263550000,0,"Районы Восточного округа/"
96086,"Богородское",45263552000,1,"Богородское"
96087,"Вешняки",45263555000,1,"Вешняки"
96088,"Восточное Измайлово",45263558000,1,"Восточное Измайлово"
96089,"Поселок Восточный",45263561000,1,"Поселок Восточный"
96090,"Гольяново",45263564000,1,"Гольяново"
96091,"Ивановское",45263567000,1,"Ивановское"
96092,"Измайлово",45263570000,1,"Измайлово"
96093,"Косино-Ухтомский",45263573000,1,"Косино-Ухтомский"
96094,"Новогиреево",45263576000,1,"Новогиреево"
96095,"Новокосино",45263579000,1,"Новокосино"
96096,"Метрогородок",45263581000,1,"Метрогородок"
96097,"Перово",45263583000,1,"Перово"
96098,"Северное Измайлово",45263585000,1,"Северное Измайлово"
96099,"Соколиная Гора",45263588000,1,"Соколиная Гора"
96100,"Сокольники",45263591000,1,"Сокольники"
96101,"Преображенское",45263594000,1,"Преображенское"
96102,"Районы Западного округа/",45268550000,0,"Районы Западного округа/"
96103,"Поселок Внуково",45268552000,1,"Поселок Внуково"
96104,"Дорогомилово",45268554000,1,"Дорогомилово"
96105,"Крылатское",45268560000,1,"Крылатское"
96106,"Кунцево",45268562000,1,"Кунцево"
96107,"Можайский",45268569000,1,"Можайский"
96108,"Ново-Переделкино",45268577000,1,"Ново-Переделкино"
96109,"Очаково-Матвеевское",45268579000,1,"Очаково-Матвеевское"
96110,"Проспект Вернадского",45268581000,1,"Проспект Вернадского"
96111,"Раменки",45268584000,1,"Раменки"
96112,"Солнцево",45268588000,1,"Солнцево"
96113,"Тропарево-Никулино",45268592000,1,"Тропарево-Никулино"
96114,"Филевский Парк",45268595000,1,"Филевский Парк"
96115,"Фили-Давыдково",45268597000,1,"Фили-Давыдково"
96116,"Районы г Зеленограда/",45272550000,0,"Районы г Зеленограда/"
96117,"N1",45272560000,1,"N1"
96118,"N2",45272565000,1,"N2"
96119,"N3",45272570000,1,"N3"
96120,"N4",45272575000,1,"N4"
96121,"Крюково",45272580000,1,"Крюково"
96122,"Районы Северного округа/",45277550000,0,"Районы Северного округа/"
96123,"Аэропорт",45277553000,1,"Аэропорт"
