CPROF_ID,F6_ID,PRINT_NAME,EXPRESSION,CALCULATE,COL_B,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_10T,COL_12T
100,1,Руководители,,0,1,19,9,6,3,,8,5,3,1,,,,,,,,,
200,1,"Специалисты – всего, из них по основным видам экономической деятельности",210+221+231+241+251+271+281+291+295,1,2,82,33,8,25,19,15,1,14,17,1,,,,,,,,
210,1,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
221,1,"C. Добыча полезных ископаемых"," ",0,4,,,,,,,,,,,,,,,,,,
231,1,"D. Обрабатывающие производства"," ",0,5,,,,,,,,,,,,,,,,,,
241,1,"E. Производство и распределение электроэнергии, газа и воды"," ",0,6,,,,,,,,,,,,,,,,,,
251,1,"F. Строительство"," ",0,7,,,,,,,,,,,,,,,,,,
271,1,"I. Транспорт и связь"," ",0,8,82,33,8,25,19,15,1,14,17,1,,,,,,,,
281,1,"M. Образование"," ",0,9,,,,,,,,,,,,,,,,,,
291,1,"N. Здравоохранение и предоставление социальных услуг"," ",0,10,,,,,,,,,,,,,,,,,,
295,1,"прочие виды экономической деятельности"," ",0,11,,,,,,,,,,,,,,,,,,
300,1,"Другие служащие",,0,12,4,,,,,,,,,,,,,,,,,
400,1,"Рабочие - всего",410+440+450+460+470+480,1,13,,,,,,,,,,,,,,,,,,
410,1,"- имеющие тарифный разряд",,0,14,,,,,,,,,,,,,,,,,,
440,1,"- не имеющие тарифных разрядов",,0,15,,,,,,,,,,,,,,,,,,
450,1,"- сельскохозяйственного производства",,0,16,,,,,,,,,,,,,,,,,,
460,1,"- локомотивных бригад",,0,17,,,,,,,,,,,,,,,,,,
470,1,"- водители",,0,18,,,,,,,,,,,,,,,,,,
480,1,"- трактористы",,0,19,,,,,,,,,,,,,,,,,,
490,1,"Из численности руководителей, специалистов и рабочих:",,0,,,,,,,,,,,,,,,,,,,
495,1,"- летно-подъемный состав",,0,20,,,,,,,,,,,,,,,,,,
496,1,"- плавающий состав",,0,21,,,,,,,,,,,,,,,,,,
1000,1,"ИТОГО (сумма строк 1+2+12+13)",100+200+300+400,1,22,105,42,14,28,19,23,6,17,18,1,,,,,,,,
1500,1,"По небронируемым организациям",,0,23,,,,,,,,,,,,,,,,,,
2000,1,"ВСЕГО (сумма строк 22+23)",1000+1500,1,24,105,42,14,28,19,23,6,17,18,1,,,,,,,,
