CPROF_ID,F6_ID,PRINT_NAME,EXPRESSION,CALCULATE,COL_B,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_10T,COL_12T
100,19,Руководители,,0,1,46,11,5,6,1,1,1,,9,1,,,,,,,,
100,20,Руководители,,0,1,,,,,,,,,,,,,,,,,,
100,21,Руководители,,0,1,,,,,,,,,,,,,,,,,,
100,22,Руководители,,0,1,,,,,,,,,,,,,,,,,,
100,23,Руководители,,0,1,,,,,,,,,,,,,,,,,,
100,24,Руководители,,0,1,,,,,,,,,,,,,,,,,,
200,19,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,201,33,9,24,22,1,1,,31,1,5,,,,,,,
200,20,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,,,,,,,,,,,,,,,,,,
200,21,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,,,,,,,,,,,,,,,,,,
200,22,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,,,,,,,,,,,,,,,,,,
200,23,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,,,,,,,,,,,,,,,,,,
200,24,"Специалисты - всего",210+221+231+241+251+271+281+291+295,0,2,,,,,,,,,,,,,,,,,,
210,19,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
210,20,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
210,21,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
210,22,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
210,23,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
210,24,"A. Сельское хозяйство",,0,3,,,,,,,,,,,,,,,,,,
221,19,"C. Добыча полезных ископаемых",,0,4,,,,0,0,,,,,,,,,,,,,
221,20,"C. Добыча полезных ископаемых",,0,4,,,,,,,,,,,,,,,,,,
221,21,"C. Добыча полезных ископаемых",,0,4,,,,,,,,,,,,,,,,,,
221,22,"C. Добыча полезных ископаемых",,0,4,,,,,,,,,,,,,,,,,,
