ORGID,PARENT,OKFS,INN,OKPO,OKONH,SOOGU,OKOPF,KODREG,REGDATE,REGNUM,ORGNAME,ORGSNAME,COMMENT,FIZADDR,URADDR,POSTADDR,PHONE,FAX,EMAIL,WWW,MYORG,CONFDATE,MAINOKONH,OKBV,OCCUPATION,FIRST_DATE,LAST_DATE,OUT_REASON,OUT_DATE,SBM_ID,KODTERR,EXT_ID,HAS_BRON,F6_SHIFR,REGPL_ID,CHK_DATE,OKATO2,OKATO3,Feature1,Feature2,Feature3,OVK_ID,KODOKTMO,KODOKTMO2,REGPLACE,COMPUTERS,SOFTWARENUM,SOFTWARE,KPIS,COMPUTERSS,SOFTWARENUMS,KPISS,Kopf_Changed,Okved_Changed,SBM,OVK_NAME
1,,14,7705440006,50040006,,,75000,45286552000,2000-10-27,000.004.0006,"ШКОЛА № 0006","ШКОЛА № 0006",,"ул. Советская, д. 48","ул. Советская, д. 48","ул. Советская, д. 48",,,,,,2009-03-12,92100,40006-A1-Арб,образование,2000-10-02,2003-09-07,,,4,45286552000,1,0,01,1,2003-11-13,45286552000,45286552000,,,,2,,,МРП,,,,,,,,,1,,"ВК Таганского района г. Москвы"
3,,42,7705410009,50010009,"14001,14010,14050",,12247,45286552000,2000-11-18,000.001.0009,"ЗАВОД № 0009","ЗАВОД № 0009",,"пер. Маяковского, д. 15","пер. Маяковского, д. 15","пер. Маяковского, д. 15",111-1000,111-2000,,,,2003-06-27,14001,10009-A1,,2000-07-09,2003-06-27,,,1,45286552000,3,0,01,1,2004-02-18,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
4,,16,7705430013,50030013,"71200,71201",,12247,45286552000,2000-10-13,000.003.0013,"УНИВЕРСАМ № 0013","УНИВЕРСАМ № 0013",,"ул. Ленина, д. 41, к. 2","ул. Ленина, д. 41, к. 2","ул. Ленина, д. 41, к. 2",,,,,,2003-05-27,71200,30013-A1-Арб,"реализация товаров массового спроса",2000-07-31,2003-05-27,,,4,45286552000,4,0,01,4,2003-09-18,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
5,,16,7705430015,50030015,"71200,71201",,12247,45286552000,2000-06-19,000.003.0015,"УНИВЕРСАМ № 0015","УНИВЕРСАМ № 0015",,"пр-т Мира, д. 14","пр-т Мира, д. 14","пр-т Мира, д. 14",,,,,,2003-06-22,71200,30015-A1,"реализация товаров массового спроса",2000-03-25,2003-06-22,,,4,45286552000,5,0,01,4,2003-07-24,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
6,,42,7705410011,50010011,"14001,14010,14050",,12247,45286552000,2000-06-28,000.001.0011,"ЗАВОД № 0011","ЗАВОД № 0011",,"ул. Советская, д. 85","ул. Советская, д. 85","ул. Советская, д. 85",111-1000,111-2000,,,,2003-02-22,14001,10011-A1,,2000-08-05,2003-02-22,,,1,45286552000,6,0,01,1,2004-01-22,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
7,,16,7705430020,50030020,"71200,71201",,12247,45286552000,2000-03-05,000.003.0020,"УНИВЕРСАМ № 0020","УНИВЕРСАМ № 0020",,"пр-т Горького, д. 45","пр-т Горького, д. 45","пр-т Горького, д. 45",,,,,,2003-05-27,71200,30020-A1,"реализация товаров массового спроса",2000-10-04,2003-05-27,,,4,45286552000,7,0,01,4,2003-09-27,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
8,,16,7705460020,50060020,,,,45286552000,2000-01-30,000.006.0020,ЧП-0020,ЧП-0020,,"Яблоневая аллея, д. 66, к. 2","Яблоневая аллея, д. 66, к. 2","Яблоневая аллея, д. 66, к. 2",,,,,,2002-09-26,84000,60020-A1,коммерция,2000-11-01,2003-09-26,,,4,45286552000,8,0,01,1,2003-12-24,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
9,,14,7705450019,50050019,"82000,82205",,,45286552000,2000-05-27,000.005.0019,ГУП-0019,ГУП-0019,,"Яблоневая аллея, д. 58","Яблоневая аллея, д. 58","Яблоневая аллея, д. 58",,,,,,2002-09-19,82000,50019-A2,"обеспечение информационной поддержкой муниципальных структур города",2000-10-28,2003-09-19,,,4,45286552000,9,0,03,1,2004-08-31,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
10,,14,7705450030,50050030,"82000,82205",,,45286552000,2000-07-15,000.005.0030,ГУП-0030,ГУП-0030,,"ул. Теплый Стан, д. 82, к. 5","ул. Теплый Стан, д. 82, к. 5","ул. Теплый Стан, д. 82, к. 5",,,,,,2003-01-25,82000,50030-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-04-05,2003-01-25,,,4,45286552000,10,0,03,1,2003-05-14,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
11,,42,7705410026,50010026,"14001,14010,14050",,12247,45286552000,2000-11-26,000.001.0026,"ЗАВОД № 0026","ЗАВОД № 0026",,"пр-т Мира, д. 31, к. 4","пр-т Мира, д. 31, к. 4","пр-т Мира, д. 31, к. 4",111-1000,111-2000,,,,2003-06-15,14001,10026-A1,,2000-04-01,2003-06-15,,,1,45286552000,11,0,01,1,2003-08-23,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
12,,14,7705450038,50050038,"82000,82205",,,45286552000,2000-11-13,000.005.0038,ГУП-0038,ГУП-0038,,"2-й пер. Призывников, д. 6","2-й пер. Призывников, д. 6","2-й пер. Призывников, д. 6",,,,,,2003-02-26,82000,50038-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-04-07,2003-02-26,,,4,45286552000,12,0,03,1,2003-12-09,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
13,,12,7705420032,50020032,"91510,91511,91515,10.15.15",,12247,45286552000,2000-02-23,000.002.0032,"АПТЕКА № 0032","АПТЕКА № 0032",,"Яблоневая аллея, д. 89","Яблоневая аллея, д. 89","Яблоневая аллея, д. 89",,,,,,2002-11-15,91510,,"торговля фармпрепаратами",2000-10-13,2003-11-15,,,1,45286552000,13,1,01,1,2004-09-25,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
14,,16,7705460035,50060035,,,,45286552000,2000-11-09,000.006.0035,ЧП-0035,ЧП-0035,,"ул. Гвоздева, д. 22","ул. Гвоздева, д. 22","ул. Гвоздева, д. 22",,,,,,2002-11-19,84000,60035-A1,коммерция,2000-02-29,2003-11-19,,,4,45286552000,14,0,01,1,2004-09-23,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
15,,16,7705430041,50030041,"71200,71201",,12247,45286552000,2000-06-30,000.003.0041,"УНИВЕРСАМ № 0041","УНИВЕРСАМ № 0041",,"ул. Гвоздева, д. 67, к. 1","ул. Гвоздева, д. 67, к. 1","ул. Гвоздева, д. 67, к. 1",,,,,,2002-09-23,71200,30041-A1,"реализация товаров массового спроса",2000-08-24,2003-09-23,,,4,45286552000,15,0,01,4,2004-08-08,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
16,,12,7705420037,50020037,"91510,91511,91515,10.15.15",,12247,45286552000,2000-03-19,000.002.0037,"АПТЕКА № 0037","АПТЕКА № 0037",,"пр-т Мира, д. 8","пр-т Мира, д. 8","пр-т Мира, д. 8",,,,,,2003-04-01,91510,20037-B,"торговля фармпрепаратами",2000-12-18,2003-04-01,,,1,45286552000,16,1,01,1,2003-08-31,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
17,,12,7705420038,50020038,"91510,91511,91515,10.15.15",,12247,45286552000,2000-01-22,000.002.0038,"АПТЕКА № 0038","АПТЕКА № 0038",,"2-я Грузинская улица, д. 26","2-я Грузинская улица, д. 26","2-я Грузинская улица, д. 26",,,,,,2003-04-13,91510,20038-B,"торговля фармпрепаратами",2000-11-19,2003-04-13,,,1,45286552000,17,1,01,1,2003-06-07,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
18,,14,7705440042,50040042,,,75000,45286552000,2000-05-27,000.004.0042,"ШКОЛА № 0042","ШКОЛА № 0042",,"пр-т Горького, д. 12","пр-т Горького, д. 12","пр-т Горького, д. 12",,,,,,2002-12-22,92100,40042-A1,образование,2000-06-23,2003-12-22,,,4,45286552000,18,0,01,1,2004-04-26,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
