ORGID,DOC_ID,DOC_NO,START_DATE,END_DATE,PER_NO,RAZD_NO
13,,,,,77-T,III
16,,,,,77-T,III
17,,,,,77-T,III
23,,,,,77-T,III
26,,,,,77-T,III
44,,,,,77-T,III
46,,,,,77-T,III
52,,,,,77-T,III
53,,,,,77-T,III
61,,,,,77-T,III
63,,,,,77-T,III
69,,,,,77-T,III
70,,,,,77-T,III
84,,,,,77-T,III
94,,,,,77-T,III
97,,,,,77-T,III
103,,,,,77-T,III
108,,,,,77-T,III
110,,,,,77-T,III
111,,,,,77-T,III
112,,,,,77-T,III
125,,,,,77-T,III
139,,,,,77-T,III
140,,,,,77-T,III
146,,,,,77-T,III
151,,,,,77-T,III
153,,,,,77-T,III
156,,,,,77-T,III
162,,,,,77-T,III
164,,,,,77-T,III
170,,,,,77-T,III
182,,,,,77-T,III
183,,,,,77-T,III
184,,,,,77-T,III
188,,,,,77-T,III
201,,,,,77-T,III
215,,,,,77-T,III
219,,,,,77-T,III
223,,,,,77-T,III
224,,,,,77-T,III
233,,,,,77-T,III
239,,,,,77-T,III
241,,,,,77-T,III
256,,,,,77-T,III
261,,,,,77-T,III
266,,,,,77-T,III
270,,,,,77-T,III
274,,,,,77-T,III
278,,,,,77-T,III
279,,,,,77-T,III
280,,,,,77-T,III
285,,,,,77-T,III
290,,,,,77-T,III
292,,,,,77-T,III
296,,,,,77-T,III
297,,,,,77-T,III
302,,,,,77-T,III
307,,,,,77-T,III
317,,,,,77-T,III
322,,,,,77-T,III
323,,,,,77-T,III
334,,,,,77-T,III
344,,,,,77-T,III
349,,,,,77-T,III
350,,,,,77-T,III
356,,,,,77-T,III
358,,,,,77-T,III
366,,,,,77-T,III
382,,,,,77-T,III
389,,,,,77-T,III
390,,,,,77-T,III
391,,,,,77-T,III
393,,,,,77-T,III
396,,,,,77-T,III
397,,,,,77-T,III
403,,,,,77-T,III
415,,,,,77-T,III
423,,,,,77-T,III
424,,,,,77-T,III
425,,,,,77-T,III
435,,,,,77-T,III
447,,,,,77-T,III
451,,,,,77-T,III
455,,,,,77-T,III
456,,,,,77-T,III
458,,,,,77-T,III
465,,,,,77-T,III
474,,,,,77-T,III
488,,,,,77-T,III
489,,,,,77-T,III
493,,,,,77-T,III
494,,,,,77-T,III
508,,,,,77-T,III
520,,,,,77-T,III
523,,,,,77-T,III
533,,,,,77-T,III
534,,,,,77-T,III
536,,,,,77-T,III
540,,,,,77-T,III
550,,,,,77-T,III
560,,,,,77-T,III
568,,,,,77-T,III
571,,,,,77-T,III
578,,,,,77-T,III
583,,,,,77-T,III
588,,,,,77-T,III
596,,,,,77-T,III
603,,,,,77-T,III
610,,,,,77-T,III
613,,,,,77-T,III
616,,,,,77-T,III
623,,,,,77-T,III
626,,,,,77-T,III
629,,,,,77-T,III
630,,,,,77-T,III
631,,,,,77-T,III
633,,,,,77-T,III
634,,,,,77-T,III
638,,,,,77-T,III
644,,,,,77-T,III
645,,,,,77-T,III
647,,,,,77-T,III
653,,,,,77-T,III
654,,,,,77-T,III
655,,,,,77-T,III
676,,,,,77-T,III
680,,,,,77-T,III
683,,,,,77-T,III
693,,,,,77-T,III
695,,,,,77-T,III
705,,,,,77-T,III
711,,,,,77-T,III
715,,,,,77-T,III
717,,,,,77-T,III
719,,,,,77-T,III
726,,,,,77-T,III
729,,,,,77-T,III
737,,,,,77-T,III
742,,,,,77-T,III
754,,,,,77-T,III
755,,,,,77-T,III
758,,,,,77-T,III
759,,,,,77-T,III
762,,,,,77-T,III
763,,,,,77-T,III
765,,,,,77-T,III
770,,,,,77-T,III
771,,,,,77-T,III
772,,,,,77-T,III
773,,,,,77-T,III
786,,,,,77-T,III
791,,,,,77-T,III
793,,,,,77-T,III
802,,,,,77-T,III
807,,,,,77-T,III
811,,,,,77-T,III
825,,,,,77-T,III
830,,,,,77-T,III
836,,,,,77-T,III
839,,,,,77-T,III
976,,,,,T,I
851,,,,,77-T,III
865,,,,,77-T,III
870,,,,,77-T,III
873,,,,,77-T,III
874,,,,,77-T,III
875,,,,,77-T,III
879,,,,,77-T,III
880,,,,,77-T,III
886,,,,,77-T,III
888,,,,,77-T,III
890,,,,,77-T,III
894,,,,,77-T,III
896,,,,,77-T,III
900,,,,,77-T,III
904,,,,,77-T,III
915,,,,,77-T,III
924,,,,,77-T,III
928,,,,,77-T,III
952,,,,,77-T,III
